"","state_abb","county_name","dem_margin_2025","total_votes_2025","county_fips","votes_all","dem_margin","swing","turnout_pfct_of_2024"
"175","VA","FREDERICKSBURG CITY",0.43,10191,"51630",13578,0.31,0.12,0.750552364118427
"176","PA","BEDFORD",-0.56,12633,"42009",28218,-0.68,0.12,0.447692961939188
"177","PA","COLUMBIA",-0.19,19689.156626506,"42037",32709,-0.31,0.12,0.601949207450733
"178","PA","CUMBERLAND",0.03,79204,"42041",149068,-0.09,0.12,0.531327984543966
"179","PA","FULTON",-0.61,3249,"42057",8182,-0.73,0.12,0.39709117575165
"180","PA","PHILADELPHIA",0.71,327219.35483871,"42101",723610,0.59,0.12,0.452204025426279
"181","GA","MURRAY",-0.6,2771,"13213",17468,-0.72,0.12,0.158632928784062
"182","GA","PICKENS",-0.54,4999,"13227",20997,-0.66,0.12,0.238081630709149
"183","GA","POLK",-0.48,5787,"13233",19199,-0.6,0.12,0.301421949059847
"184","PA","SOMERSET",-0.45,19636,"42111",40987,-0.57,0.12,0.479078732280967
"185","PA","BERKS",-0.0058,97048.3516483516,"42011",210426,-0.12,0.1142,0.461199431858951
"186","VA","HENRICO",0.4,207871,"51087",181489,0.29,0.11,1.14536418185124
"187","PA","ARMSTRONG",-0.42,18563,"42005",37209,-0.53,0.11,0.498884678438012
"188","PA","HUNTINGDON",-0.42,11329,"42061",23206,-0.53,0.11,0.488192708782211
"189","PA","LEBANON",-0.21,36524,"42075",73986,-0.32,0.11,0.49366096288487
"190","NJ","ATLANTIC",0.08,98802.5,"34001",130209,-0.03,0.11,0.758799314947508
"191","VA","SPOTSYLVANIA",0.02,59035,"51177",79514,-0.09,0.11,0.742447870815202
"192","NJ","UNION",0.35,177613.684210526,"34039",241923,0.24,0.11,0.734174444804861
"193","PA","CLEARFIELD",-0.4,21275,"42033",40515,-0.51,0.11,0.525114155251142
"194","PA","MCKEAN",-0.36,8792,"42083",19750,-0.47,0.11,0.445164556962025
"195","GA","BUTTS",-0.34,3668,"13035",13020,-0.45,0.11,0.281720430107527
"196","GA","ELBERT",-0.32,2388,"13105",9589,-0.43,0.11,0.249035353008656
"197","VA","NORFOLK CITY",0.51,62181,"51710",86009,0.41,0.1,0.722959225197363
"198","PA","CLARION",-0.43,9881,"42031",19783,-0.53,0.1,0.499469241267755
"199","PA","MIFFLIN",-0.46,10276,"42087",22120,-0.56,0.1,0.464556962025316
"200","PA","TIOGA",-0.42,10337,"42117",21646,-0.52,0.1,0.477547814838769
"201","PA","WARREN",-0.29,10298,"42123",20792,-0.39,0.1,0.495286648711043
"202","GA","BARTOW",-0.41,16905,"13015",57680,-0.51,0.1,0.293082524271845
"203","GA","LINCOLN",-0.35,1441,"13181",4931,-0.45,0.1,0.292232812816873
"204","VA","MONTGOMERY",0.14,34674,"51121",47053,0.04,0.1,0.736913693069517
"205","VA","ORANGE",-0.15,17127,"51137",22353,-0.25,0.1,0.766205878405583
"206","VA","STAFFORD",0.11,61799,"51179",83539,0.01,0.1,0.739762266725721
"207","GA","CHATTAHOOCHEE",-0.07,364,"13053",1694,-0.17,0.1,0.214876033057851
"208","PA","ERIE",0.09,78691.5789473684,"42049",137979,-0.01,0.1,0.570315620111527
"209","GA","APPLING",-0.52,2038,"13001",8334,-0.62,0.1,0.244540436765059
"210","GA","BERRIEN",-0.6,1780,"13019",8068,-0.7,0.1,0.220624690133862
"211","GA","COLQUITT",-0.4,4141,"13071",16612,-0.5,0.1,0.249277630628461
"212","GA","FRANKLIN",-0.62,2096,"13119",12191,-0.72,0.1,0.171930112377984
"213","GA","GILMER",-0.53,5271,"13123",18500,-0.63,0.1,0.284918918918919
"214","GA","HABERSHAM",-0.55,6306,"13137",23370,-0.65,0.1,0.269833119383825
"215","VA","LYNCHBURG CITY",0.011,25488,"51680",37023,-0.08,0.091,0.688436917591767
"216","VA","ALEXANDRIA CITY",0.66,61007,"51510",80904,0.57,0.0900000000000001,0.754066548007515
"217","VA","ARLINGTON",0.67,95115,"51013",129561,0.58,0.0900000000000001,0.734132956676778
"218","PA","FOREST",-0.35,1440,"42053",2660,-0.44,0.09,0.541353383458647
"219","VA","CHESAPEAKE CITY",0.13,95241,"51550",128001,0.04,0.09,0.744064499496098
"220","VA","CULPEPER",-0.16,21571,"51047",28679,-0.25,0.09,0.752153143415042
