"treat","quran","votenahda","stress","relrev","age","female","own","inc","edu","urb","marriage","unemp","stud","enum","enumfemale","room","sharia","pray","votenidaa","votejabha","voteirada","votepoor","votegoods","voteAllah","voteAllah2","voteAllah3","voteAllahrank","voteAllahrank3"
1,1,0,2,2,45,0,2,5,4,1,0,0,0,"6",1,"2",4,5,0,0,1,NA,NA,NA,NA,NA,NA,NA
1,1,0,2,5,34,0,0,7,3,1,1,1,0,"6",1,"2",1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
0,1,0,1,4,32,1,1,9,4,1,1,0,0,"1",0,"1",3.25,4,0,0,0,4,3,3,1,0,2,0
0,1,0,3,3,24,1,1,5,6,0,0,1,0,"1",0,"1",1.75,4,0,0,0,3,3,1,0,0,0,NA
0,1,0,1,5,75,1,0,3,4,1,1,1,0,"1",0,"1",NA,5,0,0,0,4,4,4,1,1,1,0
0,1,0,1,5,39,1,0,7,6,0,0,0,0,"1",0,"1",2.75,5,0,0,0,3,3,1,0,0,0,NA
0,1,0,1,5,37,0,1,7,5,0,1,1,0,"1",0,"1",3.25,5,0,0,0,4,4,NA,NA,NA,NA,NA
1,1,0,1,5,46,1,0,7,2,1,1,0,0,"1",0,"1",3.25,5,1,0,0,4,4,4,1,1,1,0
1,1,0,1,5,56,1,1,8,4,1,1,0,0,"1",0,"1",NA,1,0,0,0,4,4,1,0,0,0,NA
0,1,0,4,5,32,0,1,6,4,1,1,0,0,"1",0,"1",4,5,0,0,0,4,3,3,1,0,1,0
0,1,0,1,5,38,1,0,2,1,0,1,1,0,"1",0,"1",4,1,0,0,0,4,4,4,1,1,1,0
0,1,0,1,5,53,0,0,9,4,0,1,0,0,"1",0,"1",2.5,1,0,0,1,4,4,1,0,0,0,NA
0,1,0,1,5,27,1,0,4,3,1,0,1,0,"3",1,"1",2.75,1,0,0,0,3,4,3,1,0,6,1
0,1,0,1,5,35,0,1,9,4,0,1,0,0,"3",1,"1",2.25,3,1,0,0,3,3,3,1,0,6,1
0,1,0,1,5,25,1,1,6,6,0,0,1,0,"3",1,"1",2.75,4,0,0,0,1,3,4,1,1,2,0
1,1,0,3,5,48,1,0,5,4,0,1,0,0,"3",1,"1",3,4,0,0,0,4,4,4,1,1,4,0
0,1,1,3,1,42,1,2,5,4,1,1,0,0,"3",1,"1",3,4,0,0,0,3,3,3,1,0,5,1
1,1,1,1,NA,24,1,1,NA,4,1,0,1,0,"3",1,"1",2.5,5,0,0,0,3,3,1,0,0,0,NA
0,1,0,1,3,55,1,1,8,4,1,1,0,0,"3",1,"1",2.25,3,0,0,0,4,4,3,1,0,5,1
0,1,1,2,5,56,1,0,3,1,0,1,0,0,"3",1,"1",3,3,0,0,0,3,3,3,1,0,3,0
1,0,0,1,5,51,1,0,2,3,1,1,0,0,"8",1,"1",3,3,0,0,0,3,3,1,0,0,0,NA
1,0,1,1,1,52,0,0,4,1,0,1,0,0,"6",1,"1",3,5,0,0,0,4,4,4,1,1,5,1
1,0,0,2,1,69,1,0,7,2,1,1,0,0,"5",1,"1",3.5,5,1,0,0,3,3,3,1,0,6,1
1,0,0,4,1,47,0,0,4,4,1,1,1,0,"11",1,"2",2.5,1,1,0,0,2,1,1,0,0,0,NA
1,0,1,2,5,60,1,1,4,2,0,1,0,0,"4",1,"3",NA,5,0,0,0,3,NA,4,1,1,4,0
1,0,0,1,5,23,1,2,8,5,1,0,0,1,"1",0,"1",2.25,4,1,0,0,2,3,1,0,0,0,NA
1,0,0,2,2,23,0,2,10,4,1,0,0,1,"1",0,"1",2.5,1,0,0,0,4,1,1,0,0,0,NA
1,0,0,2,5,55,0,1,3,5,0,1,0,0,"7",1,"2",3.75,3,1,0,0,2,2,2,0,0,0,NA
1,0,1,1,3,55,0,2,10,4,1,1,0,0,"7",1,"2",3.5,3,0,0,0,2,2,1,0,0,0,NA
1,1,0,1,1,52,1,0,3,2,1,0,0,0,"7",1,"2",2,2,0,1,0,4,4,4,1,1,2,0
1,1,0,1,1,25,1,1,10,5,1,0,0,0,"7",1,"2",2.5,3,0,1,0,3,2,1,0,0,0,NA
1,1,0,1,5,34,1,0,3,3,1,1,1,0,"3",1,"1",NA,4,0,0,0,4,4,4,1,1,1,0
1,1,0,2,5,58,0,0,3,2,1,1,0,0,"4",1,"1",1,4,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,0,4,5,24,1,1,9,5,1,0,0,1,"4",1,"1",NA,3,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,0,1,5,69,0,0,2,1,0,1,0,0,"4",1,"1",4,5,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,0,2,1,53,1,0,5,1,1,1,0,0,"4",1,"1",1,5,0,1,0,3,3,3,1,0,6,1
1,1,0,2,1,50,0,0,10,2,1,1,0,0,"4",1,"1",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,0,2,3,23,1,1,6,5,1,0,0,1,"4",1,"1",1,3,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,0,2,5,24,1,2,6,5,1,0,1,0,"4",1,"1",1,5,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,0,2,5,52,1,0,6,3,1,1,0,0,"4",1,"1",2.5,4,0,0,0,3,3,3,1,0,6,1
1,1,0,3,5,60,1,1,1,4,1,1,0,1,"4",1,"1",3,4,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,0,4,4,28,0,0,3,3,0,0,1,0,"7",1,"2",3.5,1,0,0,0,1,1,NA,NA,NA,NA,NA
1,1,1,1,1,58,1,0,7,2,1,1,0,0,"7",1,"2",NA,4,0,0,0,4,4,4,1,1,2,0
1,1,0,2,5,51,1,0,4,2,1,0,0,0,"7",1,"2",3.25,3,1,0,0,4,4,4,1,1,3,0
1,1,1,4,5,64,1,1,3,3,1,1,0,0,"7",1,"2",4,4,0,0,0,4,4,NA,NA,NA,NA,NA
1,1,0,2,1,40,1,1,6,3,1,1,1,0,"7",1,"2",NA,2,1,0,0,3,3,3,1,0,4,0
1,1,0,4,2,50,1,1,4,2,1,1,0,0,"7",1,"2",3.5,4,0,0,0,4,4,4,1,1,5,1
1,1,0,4,1,48,0,0,4,3,1,1,1,0,"7",1,"2",3,3,0,0,0,3,3,NA,NA,NA,NA,NA
1,1,1,1,1,35,0,1,8,2,0,0,0,0,"7",1,"2",2.5,4,0,0,0,4,4,NA,NA,NA,NA,NA
