"treat","quran","votenahda","stress","relrev","age","female","own","inc","edu","urb","marriage","unemp","stud","enum","enumfemale","room","sharia","pray","votenidaa","votejabha","voteirada","votepoor","votegoods","voteAllah","voteAllah2","voteAllah3","voteAllahrank","voteAllahrank3"
0,1,0,1,5,50,1,1,5,3,0,1,0,0,"8",1,"3",3.25,5,1,0,0,1,3,3,1,0,6,1
0,1,0,4,2,62,0,2,10,4,1,1,0,0,"8",1,"3",3.25,5,0,0,1,NA,NA,NA,NA,NA,NA,NA
0,1,0,1,5,36,0,2,7,3,1,0,0,0,"8",1,"3",1.5,1,0,0,0,4,4,3,1,0,2,0
0,1,0,3,5,22,1,2,6,4,1,0,0,1,"4",1,"1",NA,4,0,0,0,NA,3,NA,NA,NA,NA,NA
0,1,0,2,5,27,0,0,9,3,0,0,0,0,"4",1,"1",2,1,1,0,0,1,1,NA,NA,NA,NA,NA
1,1,0,2,5,39,1,2,10,4,1,1,0,0,"4",1,"1",3,5,1,0,0,1,3,3,1,0,4,0
0,1,0,2,3,62,0,0,6,2,1,1,0,0,"4",1,"1",2.5,4,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,1,33,1,0,8,2,1,1,0,0,"4",1,"1",1,3,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,1,2,5,53,0,2,10,4,1,1,0,0,"4",1,"1",1.5,3,0,0,0,3,3,1,0,0,0,NA
1,1,0,1,4,23,0,0,8,4,1,0,0,0,"4",1,"1",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,1,0,1,2,29,0,0,5,2,1,1,0,0,"7",1,"2",3,3,0,1,0,2,1,1,0,0,0,NA
0,1,1,1,1,23,1,1,6,4,1,0,0,1,"7",1,"2",2.75,3,0,0,0,1,1,1,0,0,0,NA
0,1,0,2,1,60,0,2,9,4,1,1,1,0,"7",1,"2",1,1,1,0,0,4,4,3,1,0,5,1
1,1,0,2,5,22,0,1,10,4,1,0,0,0,"1",0,"1",2.75,2,1,0,0,3,2,2,0,0,0,NA
0,1,0,2,3,29,1,0,10,3,0,1,0,0,"7",1,"2",4,3,1,0,0,2,4,4,1,1,4,0
1,1,0,4,3,52,0,0,3,2,0,1,0,0,"1",0,"1",3.25,4,1,0,0,3,4,3,1,0,1,0
0,1,0,1,1,39,0,1,10,6,1,0,0,0,"7",1,"2",1.75,2,1,0,0,4,4,4,1,1,3,0
1,1,0,3,3,35,1,0,4,4,1,1,1,0,"1",0,"1",NA,3,0,0,0,3,2,1,0,0,0,NA
0,1,0,2,3,23,1,1,4,4,1,0,0,1,"7",1,"2",3,1,0,0,0,4,4,4,1,1,5,1
0,1,0,3,3,33,0,0,8,4,1,0,0,0,"1",0,"1",2.5,1,0,0,0,4,4,4,1,1,6,1
0,1,0,1,1,50,0,0,10,4,1,1,0,0,"1",0,"1",3.75,4,0,0,0,3,3,4,1,1,3,0
1,1,0,1,5,59,1,0,8,2,1,1,0,0,"3",1,"1",2.75,5,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,1,0,1,5,23,0,2,8,4,1,0,0,1,"3",1,"1",3,5,1,0,0,NA,1,1,0,0,0,NA
0,1,0,4,5,26,0,1,4,2,1,0,0,0,"3",1,"1",4,4,0,0,1,4,4,NA,NA,NA,NA,NA
1,1,0,4,5,67,0,1,2,2,1,1,1,0,"3",1,"1",4,4,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,5,26,0,2,10,4,1,0,0,0,"3",1,"1",3.25,3,0,0,0,4,1,1,0,0,0,NA
0,1,0,4,5,45,0,1,6,2,0,1,0,0,"3",1,"1",4,5,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,0,1,2,22,1,1,8,4,1,0,0,1,"6",1,"3",3,4,0,0,1,NA,NA,NA,NA,NA,NA,NA
1,1,0,1,1,58,0,0,3,2,0,1,0,0,"6",1,"3",3.5,4,1,0,0,4,4,2,0,0,0,NA
0,1,0,2,2,43,1,0,3,1,1,0,0,0,"6",1,"3",1,3,0,0,0,NA,4,3,1,0,3,0
1,1,0,2,1,29,0,2,10,4,1,0,0,0,"6",1,"3",4,2,0,0,1,NA,NA,NA,NA,NA,NA,NA
1,1,0,2,2,53,0,0,3,3,0,1,0,0,"6",1,"3",2.75,3,1,0,0,4,4,NA,NA,NA,NA,NA
1,1,0,1,5,23,1,2,9,3,1,0,0,1,"6",1,"3",1.5,2,0,0,1,NA,NA,NA,NA,NA,NA,NA
0,1,0,1,1,61,0,1,10,3,0,1,0,0,"6",1,"3",1,3,1,0,0,3,4,3,1,0,2,0
0,1,0,1,3,22,1,1,10,4,0,0,0,1,"5",1,"3",2.75,3,0,1,0,3,1,NA,NA,NA,NA,NA
0,1,0,1,3,21,1,2,9,4,1,0,0,1,"5",1,"3",3.25,3,0,1,0,2,3,NA,NA,NA,NA,NA
0,1,0,2,1,60,1,0,6,2,1,1,0,0,"5",1,"3",4,3,0,0,1,4,4,NA,NA,NA,NA,NA
0,1,0,2,1,22,0,1,8,4,0,0,0,1,"5",1,"3",1,1,0,1,0,4,3,NA,NA,NA,NA,NA
1,1,0,2,5,32,0,2,10,3,1,1,0,0,"5",1,"3",3.5,4,0,0,1,4,4,4,1,1,3,0
0,1,0,2,2,51,0,2,5,3,0,1,0,0,"11",1,"3",2.5,4,0,0,0,4,4,4,1,1,5,1
0,1,1,1,5,28,0,0,6,2,0,0,0,0,"11",1,"2",3.25,5,0,0,0,4,4,4,1,1,6,1
1,1,0,2,3,25,0,1,9,5,1,0,0,0,"11",1,"2",2.75,1,0,0,0,3,4,2,0,0,0,NA
0,1,1,1,1,28,0,2,10,5,0,0,1,0,"11",1,"2",2,2,0,0,0,3,4,2,0,0,0,NA
0,1,0,1,5,30,1,2,10,4,1,0,0,0,"11",1,"2",2.25,1,1,0,0,4,4,2,0,0,0,NA
0,1,0,2,3,46,0,1,9,4,1,1,0,0,"11",1,"2",3.5,3,0,0,0,3,4,3,1,0,2,0
0,1,0,2,1,45,0,1,10,4,1,0,0,0,"11",1,"2",2.5,5,0,1,0,4,2,4,1,1,4,0
0,1,0,1,5,24,0,0,8,3,0,0,0,1,"5",1,"3",3.75,4,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,1,0,3,3,58,0,0,7,3,1,1,0,0,"5",1,"3",3.25,3,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,1,0,1,3,65,1,2,6,3,1,1,0,0,"5",1,"3",3.25,4,1,0,0,2,4,3,1,0,4,0
1,1,0,1,5,70,0,0,3,1,1,1,0,0,"5",1,"3",2.25,5,1,0,0,3,3,3,1,0,6,1
