"","term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
"63",2008,105,"AScalia",2.324,0.351,2.311,1.669,3.06
"64",2009,105,"AScalia",2.296,0.342,2.287,1.648,2.986
"65",2010,105,"AScalia",2.123,0.353,2.115,1.466,2.829
"66",2011,105,"AScalia",2.05,0.333,2.04,1.435,2.731
"67",2012,105,"AScalia",1.733,0.331,1.723,1.107,2.416
"68",2013,105,"AScalia",1.593,0.345,1.584,0.941,2.307
"69",2014,105,"AScalia",1.524,0.354,1.505,0.875,2.258
"70",2015,105,"AScalia",1.597,0.449,1.585,0.749,2.512
"71",2018,116,"BMKavanaugh",0.645,0.267,0.635,0.136,1.187
"72",2019,116,"BMKavanaugh",0.626,0.242,0.625,0.165,1.103
"73",2020,116,"BMKavanaugh",0.684,0.256,0.682,0.199,1.19
"74",2021,116,"BMKavanaugh",0.814,0.272,0.806,0.29,1.362
"106",1991,95,"BRWhite",0.635,0.194,0.629,0.264,1.022
"107",1992,95,"BRWhite",0.583,0.225,0.576,0.16,1.031
"118",1991,108,"CThomas",2.734,0.464,2.711,1.897,3.712
"119",1992,108,"CThomas",3.032,0.454,3.015,2.196,3.968
"120",1993,108,"CThomas",3.421,0.434,3.407,2.623,4.3
"121",1994,108,"CThomas",3.643,0.44,3.628,2.815,4.541
"122",1995,108,"CThomas",3.735,0.454,3.721,2.877,4.67
"123",1996,108,"CThomas",3.805,0.46,3.793,2.931,4.735
"124",1997,108,"CThomas",3.799,0.471,3.785,2.914,4.756
"125",1998,108,"CThomas",3.825,0.482,3.813,2.917,4.822
"126",1999,108,"CThomas",3.769,0.492,3.752,2.852,4.773
"127",2000,108,"CThomas",3.803,0.491,3.783,2.896,4.813
"128",2001,108,"CThomas",3.762,0.508,3.745,2.817,4.817
"129",2002,108,"CThomas",3.9,0.498,3.887,2.944,4.903
"130",2003,108,"CThomas",3.915,0.5,3.908,2.971,4.913
"131",2004,108,"CThomas",3.948,0.496,3.932,3.025,4.962
"133",2006,108,"CThomas",3.93,0.482,3.914,3.021,4.926
"134",2007,108,"CThomas",3.785,0.485,3.773,2.884,4.767
"135",2008,108,"CThomas",3.535,0.497,3.516,2.614,4.534
"136",2009,108,"CThomas",3.395,0.497,3.374,2.476,4.43
"137",2010,108,"CThomas",3.224,0.503,3.206,2.296,4.279
"138",2011,108,"CThomas",3.193,0.496,3.174,2.278,4.222
"139",2012,108,"CThomas",3.14,0.493,3.121,2.224,4.158
"140",2013,108,"CThomas",3.171,0.49,3.155,2.248,4.183
"141",2014,108,"CThomas",3.172,0.486,3.151,2.27,4.184
"142",2015,108,"CThomas",3.193,0.486,3.173,2.306,4.201
"143",2016,108,"CThomas",3.205,0.487,3.184,2.316,4.207
"144",2017,108,"CThomas",3.125,0.503,3.1,2.197,4.179
"145",2018,108,"CThomas",3.162,0.506,3.135,2.239,4.214
"146",2019,108,"CThomas",3.137,0.527,3.11,2.18,4.252
"147",2020,108,"CThomas",2.972,0.584,2.941,1.917,4.19
"148",2021,108,"CThomas",3.05,0.617,3.014,1.945,4.336
"150",1991,107,"DHSouter",0.605,0.189,0.602,0.241,0.992
"151",1992,107,"DHSouter",0.258,0.186,0.256,-0.099,0.623
"152",1993,107,"DHSouter",-0.238,0.197,-0.238,-0.632,0.143
"153",1994,107,"DHSouter",-0.337,0.196,-0.334,-0.729,0.037
"154",1995,107,"DHSouter",-0.379,0.198,-0.377,-0.771,0.004
"155",1996,107,"DHSouter",-0.321,0.197,-0.317,-0.717,0.058
"156",1997,107,"DHSouter",-0.421,0.211,-0.415,-0.853,-0.019
"157",1998,107,"DHSouter",-0.486,0.205,-0.482,-0.9,-0.092
"158",1999,107,"DHSouter",-0.938,0.222,-0.936,-1.38,-0.505
"159",2000,107,"DHSouter",-1.208,0.243,-1.204,-1.704,-0.744
"160",2001,107,"DHSouter",-1.403,0.266,-1.396,-1.954,-0.908
"161",2002,107,"DHSouter",-1.516,0.283,-1.511,-2.086,-0.983
"162",2003,107,"DHSouter",-1.662,0.288,-1.656,-2.236,-1.118
"163",2004,107,"DHSouter",-1.614,0.285,-1.609,-2.191,-1.07
"165",2006,107,"DHSouter",-1.427,0.276,-1.419,-1.992,-0.905
"166",2007,107,"DHSouter",-1.498,0.289,-1.484,-2.097,-0.963
"167",2008,107,"DHSouter",-1.566,0.312,-1.553,-2.208,-0.984
"168",2010,114,"EKagan",-1.44,0.341,-1.43,-2.138,-0.797
"169",2011,114,"EKagan",-1.43,0.309,-1.421,-2.068,-0.85
"170",2012,114,"EKagan",-1.672,0.303,-1.662,-2.286,-1.098
"171",2013,114,"EKagan",-1.633,0.317,-1.625,-2.275,-1.03
"172",2014,114,"EKagan",-1.676,0.307,-1.667,-2.299,-1.098
"173",2015,114,"EKagan",-1.563,0.319,-1.556,-2.202,-0.969
"174",2016,114,"EKagan",-1.612,0.317,-1.606,-2.26,-1.013
"175",2017,114,"EKagan",-1.654,0.3,-1.645,-2.266,-1.087
"176",2018,114,"EKagan",-1.655,0.304,-1.645,-2.292,-1.084
"177",2019,114,"EKagan",-1.738,0.317,-1.726,-2.381,-1.15
"178",2020,114,"EKagan",-1.774,0.343,-1.758,-2.475,-1.134
"179",2021,114,"EKagan",-1.849,0.38,-1.835,-2.627,-1.148
"260",1991,100,"HABlackmun",-1.435,0.255,-1.428,-1.953,-0.954
"261",1992,100,"HABlackmun",-1.653,0.295,-1.647,-2.252,-1.105
"262",1993,100,"HABlackmun",-1.939,0.357,-1.927,-2.69,-1.284
"326",2006,111,"JGRoberts",1.428,0.28,1.421,0.91,2
"327",2007,111,"JGRoberts",1.412,0.273,1.408,0.886,1.963
"328",2008,111,"JGRoberts",1.498,0.264,1.494,1.007,2.035
"329",2009,111,"JGRoberts",1.387,0.27,1.379,0.877,1.93
"330",2010,111,"JGRoberts",1.391,0.266,1.383,0.893,1.922
"331",2011,111,"JGRoberts",1.199,0.262,1.192,0.711,1.746
"332",2012,111,"JGRoberts",1.107,0.247,1.101,0.645,1.609
"333",2013,111,"JGRoberts",0.8,0.259,0.797,0.3,1.318
"334",2014,111,"JGRoberts",0.594,0.226,0.593,0.159,1.042
"335",2015,111,"JGRoberts",0.333,0.234,0.332,-0.124,0.798
"336",2016,111,"JGRoberts",0.354,0.236,0.352,-0.1,0.819
"337",2017,111,"JGRoberts",0.417,0.211,0.415,0.016,0.842
"338",2018,111,"JGRoberts",0.451,0.222,0.45,0.024,0.893
"339",2019,111,"JGRoberts",0.388,0.227,0.384,-0.045,0.839
"340",2020,111,"JGRoberts",0.613,0.243,0.609,0.152,1.108
"341",2021,111,"JGRoberts",0.706,0.26,0.7,0.218,1.242
"375",1991,103,"JPStevens",-2.16,0.299,-2.153,-2.764,-1.601
"376",1992,103,"JPStevens",-2.367,0.346,-2.359,-3.081,-1.719
"377",1993,103,"JPStevens",-2.583,0.38,-2.571,-3.363,-1.878
"378",1994,103,"JPStevens",-3.002,0.384,-2.992,-3.779,-2.287
"379",1995,103,"JPStevens",-3.267,0.395,-3.254,-4.062,-2.533
"380",1996,103,"JPStevens",-3.385,0.41,-3.375,-4.208,-2.61
"381",1997,103,"JPStevens",-3.358,0.428,-3.349,-4.22,-2.56
"382",1998,103,"JPStevens",-3.375,0.427,-3.357,-4.253,-2.571
"383",1999,103,"JPStevens",-3.318,0.43,-3.303,-4.192,-2.516
"384",2000,103,"JPStevens",-3.148,0.447,-3.136,-4.048,-2.314
"385",2001,103,"JPStevens",-3.04,0.453,-3.027,-3.963,-2.188
"386",2002,103,"JPStevens",-2.92,0.455,-2.904,-3.858,-2.074
"387",2003,103,"JPStevens",-2.903,0.444,-2.889,-3.847,-2.073
"388",2004,103,"JPStevens",-2.895,0.438,-2.883,-3.795,-2.079
"390",2006,103,"JPStevens",-2.807,0.443,-2.786,-3.732,-2
"391",2007,103,"JPStevens",-2.688,0.462,-2.671,-3.645,-1.846
"392",2008,103,"JPStevens",-2.855,0.477,-2.827,-3.854,-1.998
"393",2009,103,"JPStevens",-2.864,0.534,-2.841,-3.998,-1.9
"412",2016,115,"NMGorsuch",1.142,0.361,1.135,0.453,1.863
"413",2017,115,"NMGorsuch",1.073,0.276,1.064,0.561,1.644
"414",2018,115,"NMGorsuch",0.996,0.259,0.991,0.502,1.513
"415",2019,115,"NMGorsuch",0.953,0.255,0.947,0.461,1.471
"416",2020,115,"NMGorsuch",1.121,0.269,1.113,0.62,1.674
"417",2021,115,"NMGorsuch",1.049,0.294,1.038,0.5,1.642
"451",1993,109,"RBGinsburg",-0.211,0.221,-0.211,-0.645,0.217
"452",1994,109,"RBGinsburg",-0.448,0.202,-0.443,-0.85,-0.063
"453",1995,109,"RBGinsburg",-0.534,0.206,-0.529,-0.94,-0.137
"454",1996,109,"RBGinsburg",-0.601,0.208,-0.596,-1.017,-0.201
"455",1997,109,"RBGinsburg",-0.732,0.221,-0.73,-1.171,-0.309
"456",1998,109,"RBGinsburg",-0.798,0.222,-0.793,-1.245,-0.375
"457",1999,109,"RBGinsburg",-1.251,0.243,-1.244,-1.746,-0.788
"458",2000,109,"RBGinsburg",-1.494,0.264,-1.487,-2.035,-0.992
"459",2001,109,"RBGinsburg",-1.615,0.279,-1.604,-2.173,-1.095
"460",2002,109,"RBGinsburg",-1.679,0.293,-1.672,-2.263,-1.116
"461",2003,109,"RBGinsburg",-1.757,0.294,-1.751,-2.353,-1.201
"462",2004,109,"RBGinsburg",-1.686,0.301,-1.677,-2.302,-1.127
"464",2006,109,"RBGinsburg",-1.685,0.292,-1.677,-2.279,-1.137
"465",2007,109,"RBGinsburg",-1.684,0.296,-1.675,-2.286,-1.122
"466",2008,109,"RBGinsburg",-1.734,0.289,-1.724,-2.324,-1.182
"467",2009,109,"RBGinsburg",-1.689,0.317,-1.678,-2.342,-1.101
"468",2010,109,"RBGinsburg",-2.092,0.333,-2.083,-2.775,-1.465
"469",2011,109,"RBGinsburg",-2.375,0.345,-2.37,-3.077,-1.72
"470",2012,109,"RBGinsburg",-2.473,0.375,-2.464,-3.245,-1.771
"471",2013,109,"RBGinsburg",-2.47,0.403,-2.453,-3.279,-1.713
"472",2014,109,"RBGinsburg",-2.564,0.414,-2.552,-3.417,-1.788
"473",2015,109,"RBGinsburg",-2.68,0.417,-2.662,-3.549,-1.906
"474",2016,109,"RBGinsburg",-2.784,0.427,-2.771,-3.677,-1.985
"475",2017,109,"RBGinsburg",-2.84,0.44,-2.819,-3.749,-2.034
"476",2018,109,"RBGinsburg",-2.884,0.469,-2.861,-3.864,-2.029
"477",2019,109,"RBGinsburg",-2.876,0.531,-2.858,-3.972,-1.903
"492",2006,112,"SAAlito",1.456,0.298,1.444,0.899,2.07
"493",2007,112,"SAAlito",1.548,0.291,1.538,1.001,2.136
"494",2008,112,"SAAlito",1.815,0.292,1.809,1.27,2.406
"495",2009,112,"SAAlito",1.844,0.31,1.838,1.265,2.473
"496",2010,112,"SAAlito",1.984,0.321,1.977,1.365,2.629
"497",2011,112,"SAAlito",1.998,0.327,1.99,1.39,2.665
"498",2012,112,"SAAlito",1.99,0.33,1.976,1.382,2.663
"499",2013,112,"SAAlito",1.934,0.336,1.929,1.294,2.619
"500",2014,112,"SAAlito",1.766,0.325,1.754,1.16,2.441
"501",2015,112,"SAAlito",1.679,0.344,1.665,1.043,2.379
"502",2016,112,"SAAlito",1.889,0.343,1.879,1.246,2.597
"503",2017,112,"SAAlito",2.115,0.344,2.098,1.473,2.832
"504",2018,112,"SAAlito",2.089,0.367,2.076,1.403,2.85
"505",2019,112,"SAAlito",2.344,0.382,2.328,1.645,3.126
"506",2020,112,"SAAlito",2.449,0.418,2.436,1.676,3.305
"507",2021,112,"SAAlito",2.473,0.466,2.454,1.613,3.446
"518",1991,104,"SDOConnor",0.7,0.198,0.699,0.319,1.1
"519",1992,104,"SDOConnor",0.854,0.214,0.85,0.442,1.285
"520",1993,104,"SDOConnor",1.016,0.222,1.012,0.596,1.461
"521",1994,104,"SDOConnor",0.837,0.215,0.833,0.43,1.274
"522",1995,104,"SDOConnor",0.869,0.217,0.863,0.461,1.311
"523",1996,104,"SDOConnor",0.987,0.222,0.983,0.568,1.434
"524",1997,104,"SDOConnor",1.096,0.233,1.092,0.646,1.565
"525",1998,104,"SDOConnor",0.999,0.224,0.995,0.57,1.442
"526",1999,104,"SDOConnor",0.89,0.218,0.886,0.474,1.327
"527",2000,104,"SDOConnor",0.601,0.2,0.598,0.217,1.015
"528",2001,104,"SDOConnor",0.372,0.202,0.37,-0.015,0.781
"529",2002,104,"SDOConnor",0.262,0.217,0.259,-0.156,0.695
"530",2003,104,"SDOConnor",0.224,0.204,0.223,-0.171,0.63
"531",2004,104,"SDOConnor",0.119,0.232,0.116,-0.337,0.587
"553",1994,110,"SGBreyer",-0.33,0.225,-0.324,-0.791,0.095
"554",1995,110,"SGBreyer",-0.506,0.208,-0.502,-0.923,-0.108
"555",1996,110,"SGBreyer",-0.75,0.211,-0.746,-1.181,-0.351
"556",1997,110,"SGBreyer",-0.78,0.225,-0.775,-1.227,-0.343
"557",1998,110,"SGBreyer",-0.745,0.213,-0.742,-1.171,-0.339
"558",1999,110,"SGBreyer",-0.778,0.221,-0.771,-1.219,-0.359
"559",2000,110,"SGBreyer",-1.235,0.237,-1.231,-1.707,-0.777
"560",2001,110,"SGBreyer",-1.311,0.251,-1.305,-1.821,-0.838
"561",2002,110,"SGBreyer",-1.313,0.269,-1.308,-1.848,-0.803
"562",2003,110,"SGBreyer",-1.232,0.258,-1.227,-1.753,-0.753
"563",2004,110,"SGBreyer",-1.068,0.256,-1.06,-1.596,-0.587
"565",2006,110,"SGBreyer",-1.361,0.257,-1.353,-1.891,-0.875
"566",2007,110,"SGBreyer",-1.281,0.266,-1.276,-1.815,-0.779
"567",2008,110,"SGBreyer",-1.188,0.248,-1.178,-1.691,-0.72
"568",2009,110,"SGBreyer",-1.332,0.262,-1.326,-1.864,-0.837
"569",2010,110,"SGBreyer",-1.406,0.27,-1.399,-1.954,-0.894
"570",2011,110,"SGBreyer",-1.405,0.272,-1.399,-1.957,-0.887
"571",2012,110,"SGBreyer",-1.395,0.284,-1.39,-1.962,-0.859
"572",2013,110,"SGBreyer",-1.474,0.303,-1.471,-2.08,-0.886
"573",2014,110,"SGBreyer",-1.579,0.302,-1.57,-2.208,-1.019
"574",2015,110,"SGBreyer",-1.497,0.314,-1.487,-2.133,-0.911
"575",2016,110,"SGBreyer",-1.575,0.315,-1.57,-2.211,-0.982
"576",2017,110,"SGBreyer",-1.797,0.305,-1.785,-2.424,-1.222
"577",2018,110,"SGBreyer",-1.884,0.322,-1.875,-2.546,-1.272
"578",2019,110,"SGBreyer",-1.977,0.341,-1.97,-2.673,-1.335
"579",2020,110,"SGBreyer",-2.075,0.366,-2.064,-2.816,-1.383
"580",2021,110,"SGBreyer",-2.051,0.411,-2.038,-2.914,-1.289
"589",2009,113,"SSotomayor",-1.625,0.358,-1.613,-2.37,-0.959
"590",2010,113,"SSotomayor",-1.71,0.338,-1.695,-2.408,-1.086
"591",2011,113,"SSotomayor",-1.895,0.355,-1.876,-2.626,-1.24
"592",2012,113,"SSotomayor",-2.357,0.386,-2.348,-3.154,-1.642
"593",2013,113,"SSotomayor",-2.686,0.424,-2.673,-3.541,-1.895
"594",2014,113,"SSotomayor",-2.995,0.447,-2.984,-3.905,-2.157
"595",2015,113,"SSotomayor",-3.25,0.475,-3.238,-4.222,-2.368
"596",2016,113,"SSotomayor",-3.462,0.497,-3.449,-4.477,-2.546
"597",2017,113,"SSotomayor",-3.698,0.52,-3.68,-4.771,-2.731
"598",2018,113,"SSotomayor",-3.833,0.552,-3.81,-4.99,-2.814
"599",2019,113,"SSotomayor",-3.947,0.589,-3.915,-5.169,-2.885
"600",2020,113,"SSotomayor",-4.07,0.631,-4.044,-5.371,-2.917
"601",2021,113,"SSotomayor",-4.137,0.676,-4.116,-5.532,-2.884
"688",1991,102,"WHRehnquist",2.129,0.313,2.113,1.554,2.772
"689",1992,102,"WHRehnquist",2.066,0.308,2.058,1.486,2.693
"690",1993,102,"WHRehnquist",1.875,0.3,1.868,1.313,2.477
"691",1994,102,"WHRehnquist",1.874,0.286,1.869,1.33,2.452
"692",1995,102,"WHRehnquist",1.844,0.281,1.834,1.321,2.419
"693",1996,102,"WHRehnquist",1.697,0.282,1.69,1.17,2.276
"694",1997,102,"WHRehnquist",1.671,0.283,1.663,1.144,2.249
"695",1998,102,"WHRehnquist",1.881,0.28,1.873,1.353,2.448
"696",1999,102,"WHRehnquist",1.743,0.283,1.738,1.208,2.32
"697",2000,102,"WHRehnquist",1.677,0.27,1.67,1.173,2.225
"698",2001,102,"WHRehnquist",1.431,0.275,1.423,0.921,1.983
"699",2002,102,"WHRehnquist",1.262,0.277,1.257,0.734,1.831
"700",2003,102,"WHRehnquist",1.397,0.286,1.388,0.864,1.995
"701",2004,102,"WHRehnquist",1.464,0.34,1.452,0.836,2.164
