"","term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
"1",2020,117,"ACBarrett",1.219,0.363,1.201,0.557,1.975
"2",2021,117,"ACBarrett",1.347,0.349,1.326,0.717,2.085
"14",1991,106,"AMKennedy",0.859,0.202,0.857,0.473,1.27
"15",1992,106,"AMKennedy",1.032,0.213,1.027,0.631,1.465
"16",1993,106,"AMKennedy",0.873,0.217,0.871,0.467,1.309
"17",1994,106,"AMKennedy",0.849,0.211,0.847,0.442,1.265
"18",1995,106,"AMKennedy",0.739,0.21,0.735,0.333,1.158
"19",1996,106,"AMKennedy",0.831,0.212,0.826,0.421,1.248
"20",1997,106,"AMKennedy",0.826,0.224,0.821,0.394,1.273
"21",1998,106,"AMKennedy",0.953,0.222,0.948,0.534,1.4
"22",1999,106,"AMKennedy",1.09,0.226,1.085,0.664,1.546
"23",2000,106,"AMKennedy",0.964,0.222,0.957,0.543,1.42
"24",2001,106,"AMKennedy",1.058,0.228,1.054,0.619,1.514
"25",2002,106,"AMKennedy",0.899,0.237,0.895,0.438,1.382
"26",2003,106,"AMKennedy",0.768,0.225,0.766,0.34,1.213
"27",2004,106,"AMKennedy",0.544,0.225,0.54,0.107,0.995
"29",2006,106,"AMKennedy",0.458,0.203,0.457,0.067,0.859
"30",2007,106,"AMKennedy",0.411,0.219,0.411,-0.017,0.847
"31",2008,106,"AMKennedy",0.576,0.206,0.576,0.18,0.985
"32",2009,106,"AMKennedy",0.516,0.216,0.512,0.102,0.947
"33",2010,106,"AMKennedy",0.577,0.216,0.575,0.164,1.015
"34",2011,106,"AMKennedy",0.296,0.213,0.294,-0.118,0.723
"35",2012,106,"AMKennedy",0.24,0.208,0.239,-0.158,0.65
"36",2013,106,"AMKennedy",0.069,0.23,0.069,-0.377,0.521
"37",2014,106,"AMKennedy",-0.227,0.213,-0.223,-0.649,0.185
"38",2015,106,"AMKennedy",-0.267,0.233,-0.267,-0.729,0.192
"39",2016,106,"AMKennedy",-0.045,0.236,-0.047,-0.506,0.423
"40",2017,106,"AMKennedy",0.402,0.235,0.399,-0.051,0.867
"46",1991,105,"AScalia",2.511,0.314,2.499,1.917,3.148
"47",1992,105,"AScalia",2.547,0.351,2.533,1.892,3.26
"48",1993,105,"AScalia",2.65,0.369,2.638,1.954,3.409
"49",1994,105,"AScalia",2.892,0.385,2.879,2.171,3.684
"50",1995,105,"AScalia",3.18,0.397,3.168,2.434,3.973
"51",1996,105,"AScalia",3.403,0.403,3.394,2.63,4.216
"52",1997,105,"AScalia",3.481,0.416,3.475,2.699,4.323
"53",1998,105,"AScalia",3.468,0.43,3.466,2.65,4.325
"54",1999,105,"AScalia",3.545,0.428,3.537,2.724,4.41
"55",2000,105,"AScalia",3.544,0.424,3.537,2.744,4.403
"56",2001,105,"AScalia",3.389,0.423,3.375,2.591,4.242
"57",2002,105,"AScalia",3.088,0.423,3.077,2.299,3.946
"58",2003,105,"AScalia",2.916,0.412,2.906,2.14,3.754
"59",2004,105,"AScalia",2.721,0.403,2.711,1.96,3.528
"61",2006,105,"AScalia",2.59,0.373,2.582,1.884,3.339
"62",2007,105,"AScalia",2.436,0.36,2.428,1.752,3.18
