"","term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
"1",2020,117,"ACBarrett",0.984,0.315,0.985,0.365,1.606
"2",2021,117,"ACBarrett",1.035,0.265,1.029,0.528,1.554
"3",2022,117,"ACBarrett",0.795,0.279,0.785,0.274,1.37
"4",2023,117,"ACBarrett",0.685,0.301,0.677,0.121,1.306
"16",1991,106,"AMKennedy",0.856,0.205,0.85,0.476,1.259
"17",1992,106,"AMKennedy",1.035,0.216,1.033,0.629,1.467
"18",1993,106,"AMKennedy",0.871,0.227,0.871,0.433,1.315
"19",1994,106,"AMKennedy",0.847,0.214,0.838,0.437,1.266
"20",1995,106,"AMKennedy",0.743,0.211,0.743,0.344,1.157
"21",1996,106,"AMKennedy",0.831,0.212,0.827,0.408,1.263
"22",1997,106,"AMKennedy",0.816,0.228,0.808,0.395,1.276
"23",1998,106,"AMKennedy",0.947,0.23,0.934,0.532,1.422
"24",1999,106,"AMKennedy",1.084,0.237,1.083,0.624,1.572
"25",2000,106,"AMKennedy",0.964,0.225,0.956,0.542,1.417
"26",2001,106,"AMKennedy",1.055,0.225,1.052,0.623,1.506
"27",2002,106,"AMKennedy",0.899,0.237,0.899,0.448,1.388
"28",2003,106,"AMKennedy",0.765,0.224,0.755,0.337,1.214
"29",2004,106,"AMKennedy",0.54,0.227,0.532,0.109,1.004
"31",2006,106,"AMKennedy",0.457,0.197,0.461,0.084,0.84
"32",2007,106,"AMKennedy",0.42,0.217,0.417,-0.008,0.841
"33",2008,106,"AMKennedy",0.58,0.206,0.577,0.18,0.977
"34",2009,106,"AMKennedy",0.513,0.215,0.506,0.089,0.94
"35",2010,106,"AMKennedy",0.57,0.213,0.565,0.172,0.997
"36",2011,106,"AMKennedy",0.291,0.214,0.285,-0.107,0.721
"37",2012,106,"AMKennedy",0.245,0.199,0.248,-0.154,0.635
"38",2013,106,"AMKennedy",0.07,0.225,0.071,-0.376,0.518
"39",2014,106,"AMKennedy",-0.226,0.21,-0.223,-0.64,0.179
"40",2015,106,"AMKennedy",-0.268,0.232,-0.261,-0.73,0.185
"41",2016,106,"AMKennedy",-0.049,0.233,-0.051,-0.499,0.416
"42",2017,106,"AMKennedy",0.397,0.236,0.39,-0.067,0.864
"48",1991,105,"AScalia",2.502,0.319,2.495,1.91,3.166
"49",1992,105,"AScalia",2.547,0.355,2.542,1.865,3.285
